CONTEXT (DO NOT MODIFY),ENGLISH (DO NOT MODIFY),LOCALIZED (EDIT THIS COLUMN)
AccessPermitInner,ARSTOTZKA,ARSTOTZKA
AccessPermitInner,Access Permit,Access Permit
AccessPermitInner,This permit grants conditional access to the sovereign nation of Arstotzka,This permit grants conditional access to the sovereign nation of Arstotzka
AccessPermitInner,NAME,NAME
AccessPermitInner,NATIONALITY,NATIONALITY
AccessPermitInner,PURPOSE,PURPOSE
AccessPermitInner,HEIGHT,HEIGHT
AccessPermitInner,PHYSICAL APPEARANCE,PHYSICAL APPEARANCE
AccessPermitInner,ID NUMBER,ID NUMBER
AccessPermitInner,DURATION,DURATION
AccessPermitInner,WEIGHT,WEIGHT
AccessPermitInner,ENTER BY,ENTER BY
AccessPermitInner,Keep on person,Keep on person
AccessPermitInner,Ministry of Admission,Ministry of Admission
AsylumGrantInner,Arstotzka,Arstotzka
AsylumGrantInner,GRANT of ASYLUM,GRANT of ASYLUM
AsylumGrantInner,This document grants conditional asylum status within Arstotzkan borders,This document grants conditional asylum status within Arstotzkan borders
AsylumGrantInner,NAT,NAT
AsylumGrantInner,ID#,ID#
AsylumGrantInner,DOB,DOB
AsylumGrantInner,HT,HT
AsylumGrantInner,WT,WT
AsylumGrantInner,Offer expires after,Offer expires after
AsylumGrantInner,Ministry of Admission,Ministry of Admission
BizCardInnerFront,ENGINEERING,ENGINEERING
BizCardInnerFront,Director,Director
BizCardInnerBack,WE NEED ENGINEERS,WE NEED ENGINEERS
BizCardInnerBack,WILL BEAT .GOV PAY,WILL BEAT .GOV PAY
BizCardInnerBack,CONTACT NOW,CONTACT NOW
BrothelHelpInner,A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.,A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.
BrothelHelpInner,I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.,I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.
BrothelHelpInner,Please do something.,Please do something.
BulletinInnerDiploTut,Diplomat,Diplomat
BulletinInnerDiploTut,Verification Procedure,Verification Procedure
BulletinInnerDiploTut,Verify issuing country,Verify issuing country
BulletinInnerDiploTut,Verify identity,Verify identity
BulletinInnerDiploTut,Verify diplomatic access to Arstotzka,Verify diplomatic access to Arstotzka
BulletinInnerMissingTut,Missing documents can be correlated by highlighting counter and pertinent entry in rule book.,Missing documents can be correlated by highlighting counter and pertinent entry in rule book.
BulletinInnerRuleTut,Correlate pertinent entry in rule book with violating information to enable further options.,Correlate pertinent entry in rule book with violating information to enable further options.
BulletinInnerContraTut,Correlate discovered weapons and contraband with rulebook entry.,Correlate discovered weapons and contraband with rulebook entry.
BulletinInnerCorrelateTut,Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.,Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.
BulletinInnerTouchTut,Touch and drag to fine-tune highlighted selection.,Touch and drag to fine-tune highlighted selection.
BulletinInnerPassportTut,Pay attention to passport nationality.,Pay attention to passport nationality.
BulletinInnerBoothTut,Arstotzkan<br>Ministry of Admission,Arstotzkan<br>Ministry of Admission
BulletinInnerBoothTut,Inspector's Booth,Inspector's Booth
BulletinInnerBoothTut,Shutter,Shutter
BulletinInnerBoothTut,Counter,Counter
BulletinInnerBoothTut,Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date,Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date
BulletinInnerBoothTut2,Arstotzkan<br>Ministry of Admission,Arstotzkan<br>Ministry of Admission
BulletinInnerBoothTut2,Inspector's Booth,Inspector's Booth
BulletinInnerBoothTut2,Shutter,Shutter
BulletinInnerBoothTut2,Counter,Counter
BulletinInnerBoothTut2,Audio Transcript<br>Rule Book<br>Weight<br>,Audio Transcript<br>Rule Book<br>Weight<br>
BulletinInnerBoothTut2,Bulletin Storage<br>Time &amp; Date,Bulletin Storage<br>Time &amp; Date
BulletinInnerBoothTut3,Arstotzkan<br>Ministry of Admission,Arstotzkan<br>Ministry of Admission
BulletinInnerBoothTut3,Inspector's Booth,Inspector's Booth
BulletinInnerBoothTut3,Shutter<br>Time &amp; Date<br>Weight,Shutter<br>Time &amp; Date<br>Weight
BulletinInnerBoothTut3,Counter,Counter
BulletinInnerBoothTut3,Rule Book<br>Audio Transcript<br>Bulletin,Rule Book<br>Audio Transcript<br>Bulletin
BulletinInnerGunTut,Weapons Protocol,Weapons Protocol
BulletinInnerGunTut,WHEN ALARM SOUNDS,WHEN ALARM SOUNDS
BulletinInnerGunTut,Drop key on tumbler to unlock weapon.,Drop key on tumbler to unlock weapon.
BulletinInnerGunTut,"Select gun, aim and fire.","Select gun, aim and fire."
BulletinInnerGunTut,Time is short. Act fast.,Time is short. Act fast.
BulletinInnerFilerTut,ALTAN &nbsp; DISTRICT,ALTAN &nbsp; DISTRICT
BulletinInnerFilerTut,Passport Confiscation,Passport Confiscation
BulletinInnerFilerTut,Verify ALTAN resident on id.,Verify ALTAN resident on id.
BulletinInnerFilerTut,Drop passport in confiscation drawer.,Drop passport in confiscation drawer.
BulletinInnerFilerTut,"If arresting, confiscate before detaining.","If arresting, confiscate before detaining."
BulletinInnerCriminals,Ministry of Justice,Ministry of Justice
BulletinInnerCriminals,WANTED CRIMINALS,WANTED CRIMINALS
BulletinInnerNews,NEWS,NEWS
BulletinPagesNote,CHECK ALL<br>PAGES,CHECK ALL<br>PAGES
CitationInner,M.O.A. CITATION,M.O.A. CITATION
DiplomaticAuthInner,Diplomatic<br>Authorization,Diplomatic<br>Authorization
DiplomaticAuthInner,This document authorizes named agent as a diplomatic entity of a Council of Nations member state.,This document authorizes named agent as a diplomatic entity of a Council of Nations member state.
DiplomaticAuthInner,AGENT,AGENT
DiplomaticAuthInner,PASSPORT,PASSPORT
DiplomaticAuthInner,Unconditional access to all named Council of Nations member states must be granted upon presentation.,Unconditional access to all named Council of Nations member states must be granted upon presentation.
DiplomaticAuthInner,This document has no expiry.,This document has no expiry.
DiplomaticAuthInner,COUNCIL OF NATIONS - SEVEN MEMBER FORUM,COUNCIL OF NATIONS - SEVEN MEMBER FORUM
EntryPermitInner,ARSTOTZKA,ARSTOTZKA
EntryPermitInner,Entry Permit,Entry Permit
EntryPermitInner,Conditional entry to the sovereign nation of Arstotzka is hereby granted to,Conditional entry to the sovereign nation of Arstotzka is hereby granted to
EntryPermitInner,bearing passport number,bearing passport number
EntryPermitInner,Purpose,Purpose
EntryPermitInner,Duration,Duration
EntryPermitInner,Enter by,Enter by
EntryPermitInner,Ministry of Admission,Ministry of Admission
EntryTicketInner,Arstotzka,Arstotzka
EntryTicketInner,ENTRY TICKET,ENTRY TICKET
EntryTicketInner,VALID ON,VALID ON
EzicNoteInnerOpen,READ QUICKLY,READ QUICKLY
EzicNoteInnerOpen,RETURN TO MESSENGER,RETURN TO MESSENGER
FamilyPhotoInner,HANG ON WALL,HANG ON WALL
FingerprintsInner,GIVE THIS PAPER TO APPLICANT,GIVE THIS PAPER TO APPLICANT
ForgeryFlyerInnerFront,NEED FORGED<br>OBRISTAN DOCS?,NEED FORGED<br>OBRISTAN DOCS?
ForgeryFlyerInnerFront,"""It looks so real!""","""It looks so real!"""
ForgeryFlyerInnerFront,"""Approved for entry!""","""Approved for entry!"""
ForgeryFlyerInnerFront,Fair rates!,Fair rates!
ForgeryFlyerInnerFront,No questions asked!,No questions asked!
ForgeryFlyerInnerFront,Fast turnaround!,Fast turnaround!
ForgeryFlyerInnerFront,CONDITIONS ON BACK,CONDITIONS ON BACK
ForgeryFlyerInnerBack,PRICING (EACH),PRICING (EACH)
ForgeryFlyerInnerBack,Passport *,Passport *
ForgeryFlyerInnerBack,Entry Ticket,Entry Ticket
ForgeryFlyerInnerBack,*<br>,*<br>
ForgeryFlyerInnerBack,Client must provide existing Obristan passport to be modified with new info,Client must provide existing Obristan passport to be modified with new info
ForgeryFlyerInnerBack,Service at border Arstotzka/Obristan,Service at border Arstotzka/Obristan
ForgeryFlyerInnerBack,Ask for Timofei Wee,Ask for Timofei Wee
GymFlyerInner,Underweight?Weak?Tired?,Underweight?Weak?Tired?
GymFlyerInner,JOIN BEST GYM!,JOIN BEST GYM!
GymFlyerInner,GET BIG TOWN,GET BIG TOWN
GymFlyerInner,East Grestin,East Grestin
HintMissingInner,THIS ENTRANT HAS NO DOCUMENTS,THIS ENTRANT HAS NO DOCUMENTS
HintMissingInner,"To proceed, use INSPECT mode to interrogate.","To proceed, use INSPECT mode to interrogate."
HintMissingInner,Review page 2 of today's bulletin for full instructions.,Review page 2 of today's bulletin for full instructions.
IdCardInner,ARSTOTZKA IDENTITY CARD,ARSTOTZKA IDENTITY CARD
IdCardInner,DOB,DOB
IdCardInner,HT.,HT.
IdCardInner,WT.,WT.
IdentityRecordInner,M.O.A. IDENTITY RECORD,M.O.A. IDENTITY RECORD
IdentityRecordInner,NAME:,NAME:
IdentityRecordInner,ALIAS:,ALIAS:
IdentityRecordInner,Applicant's fingerprints and claimed name/alias must match this record.,Applicant's fingerprints and claimed name/alias must match this record.
IdSupplementInner,IDENTITY<br>SUPPLEMENT,IDENTITY<br>SUPPLEMENT
IdSupplementInner,HT,HT
IdSupplementInner,WT,WT
IdSupplementInner,DESCRIPTION,DESCRIPTION
IdSupplementInner,THUMB,THUMB
IdSupplementInner,Keep on person,Keep on person
IdSupplementInner,EXP.,EXP.
LocketInnerOpen,To Sergiu from your Elisa,To Sergiu from your Elisa
LocketInnerOpen,I Love You Always,I Love You Always
LoveSongInner1,YOU,YOU
LoveSongInner1,YOU ARE HOT LIKE FIRE,YOU ARE HOT LIKE FIRE
LoveSongInner2,you,you
LoveSongInner2,OBJECT OF DESIRE,OBJECT OF DESIRE
LoveSongInner3,YOU<br>(AGAIN),YOU<br>(AGAIN)
LoveSongInner3,WRAP MY HEART IN WIRE,WRAP MY HEART IN WIRE
LoveSongInner4,ApPROVED,ApPROVED
LoveSongInner4,APPROVE MY VISA,APPROVE MY VISA
tweak-passport-field-padding-left,2px,2px
PassportInnerAntegria,ENTRY VISA,ENTRY VISA
PassportInnerAntegria,DOB.,DOB.
PassportInnerAntegria,SEX,SEX
PassportInnerAntegria,ISS.,ISS.
PassportInnerAntegria,EXP.,EXP.
PassportInnerAntegria,ANTEGRIA,ANTEGRIA
tweak-passport-arstotzka-nation,16px,16px
PassportInnerArstotzka,ENTRY VISA,ENTRY VISA
PassportInnerArstotzka,DOB.,DOB.
PassportInnerArstotzka,SEX,SEX
PassportInnerArstotzka,ISS.,ISS.
PassportInnerArstotzka,EXP.,EXP.
PassportInnerArstotzka,ARSTOTZKA,ARSTOTZKA
PassportInnerImpor,ENTRY VISA,ENTRY VISA
PassportInnerImpor,DOB.,DOB.
PassportInnerImpor,SEX,SEX
PassportInnerImpor,ISS.,ISS.
PassportInnerImpor,EXP.,EXP.
PassportInnerImpor,IMPOR,IMPOR
PassportInnerKolechia,ENTRY VISA,ENTRY VISA
PassportInnerKolechia,DOB.,DOB.
PassportInnerKolechia,SEX,SEX
PassportInnerKolechia,ISS.,ISS.
PassportInnerKolechia,EXP.,EXP.
PassportInnerKolechia,KOLECHIA,KOLECHIA
PassportInnerObristan,ENTRY VISA,ENTRY VISA
PassportInnerObristan,DOB.,DOB.
PassportInnerObristan,SEX,SEX
PassportInnerObristan,ISS.,ISS.
PassportInnerObristan,EXP.,EXP.
PassportInnerObristan,OBRISTAN,OBRISTAN
PassportInnerRepublia,ENTRY VISA,ENTRY VISA
PassportInnerRepublia,DOB.,DOB.
PassportInnerRepublia,SEX,SEX
PassportInnerRepublia,ISS.,ISS.
PassportInnerRepublia,EXP.,EXP.
PassportInnerRepublia,REPUBLIA,REPUBLIA
PassportInnerUnitedFed,ENTRY VISA,ENTRY VISA
PassportInnerUnitedFed,DOB.,DOB.
PassportInnerUnitedFed,SEX,SEX
PassportInnerUnitedFed,ISS.,ISS.
PassportInnerUnitedFed,EXP.,EXP.
PassportInnerUnitedFed,UNITED FEDERATION,UNITED FEDERATION
PlaqueOneInner,Ministry of Admission,Ministry of Admission
PlaqueOneInner,RECOGNITION,RECOGNITION
PlaqueOneInner,FOR,FOR
PlaqueOneInner,HANG ON WALL,HANG ON WALL
PlaqueTwoInner,Ministry of Admission,Ministry of Admission
PlaqueTwoInner,RECOGNITION,RECOGNITION
PlaqueTwoInner,FOR,FOR
PlaqueTwoInner,HANG ON WALL,HANG ON WALL
PoisonInnerBack,OPEN,OPEN
PoisonInnerOpen1,DO NOT TOUCH POWDER,DO NOT TOUCH POWDER
PoisonInnerOpen1,CLOSE,CLOSE
PoisonInnerOpen2,ALIGN POWDER OVER PASSPORT,ALIGN POWDER OVER PASSPORT
PoisonInnerOpen2,PUSH HARD TO AFFIX,PUSH HARD TO AFFIX
PoisonInnerOpen2,CLOSE,CLOSE
PoliceBadgeInner,MINISTRY OF INFORMATION,MINISTRY OF INFORMATION
PoliceBadgeInner,Office of Investigation,Office of Investigation
PoliceBadgeInner,East Grestin Division,East Grestin Division
PoliceBadgeInner,Special Investigator,Special Investigator
PoliceBadgeInner,MOI,MOI
tweak-press-pass-title-weight,'wght' 900,'wght' 900
PressPassInner,INTERNATIONAL,INTERNATIONAL
PressPassInner,PRESS,PRESS
PressPassInner,IDENTIFICATION,IDENTIFICATION
